freq,s_adj,age,unit,sex,geo,time,value
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-02-01,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-03-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-04-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-05-01,3.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-06-01,3.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-07-01,3.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-08-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-09-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-10-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-11-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2020-12-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-01-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-02-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-03-01,3.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-04-01,3.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-05-01,3.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-06-01,3.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-07-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-08-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-09-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-10-01,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-11-01,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2021-12-01,3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-01-01,3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-02-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-03-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-04-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-05-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-06-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-07-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-08-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-09-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-10-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-11-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2022-12-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-01-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-02-01,2.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-03-01,2.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-04-01,2.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-05-01,2.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-06-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-07-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-08-01,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-09-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-10-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-11-01,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2023-12-01,3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-01-01,3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-02-01,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-03-01,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-04-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-05-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-06-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-07-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-08-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-09-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-10-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-11-01,3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2024-12-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Germany,2025-01-01,3.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-01-01,8.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-02-01,8.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-03-01,8.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-04-01,8.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-05-01,8.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-06-01,8.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-07-01,8.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-08-01,8.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-09-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-10-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-11-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2019-12-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-01-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-02-01,7.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-03-01,7.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-04-01,7.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-05-01,6.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-06-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-07-01,8.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-08-01,9.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-09-01,9.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-10-01,8.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-11-01,8.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2020-12-01,7.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-01-01,8.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-02-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-03-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-04-01,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-05-01,8.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-06-01,7.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-07-01,7.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-08-01,7.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-09-01,7.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-10-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-11-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2021-12-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-01-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-02-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-03-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-04-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-05-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-06-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-07-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-08-01,7.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-09-01,7.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-10-01,7.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-11-01,7.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2022-12-01,7.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-01-01,7.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-02-01,7.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-03-01,7.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-04-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-05-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-06-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-07-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-08-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-09-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-10-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-11-01,7.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2023-12-01,7.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-01-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-02-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-03-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-04-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-05-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-06-01,7.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-07-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-08-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-09-01,7.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-10-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-11-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2024-12-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,France,2025-01-01,7.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Males,Euro area – 20 countries (from 2023),2019-01-01,7.5
